title,author,average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,year
The Hunchback of Notre-Dame,Victor Hugo,4,9.78035E+12,en-US,534,140,22,Modern Library,2004
La Cucina Di Lidia: Recipes and Memories from Italy's Adriatic Coast,Lidia Matticchio Bastianich,4.14,9.78077E+12,en-GB,288,48,3,Clarkson Potter,2003
Breach of Promise,James Scott Bell,4,9.78031E+12,eng,345,368,36,Zondervan,2004
Brief Interviews with Hideous Men,David Foster Wallace,3.86,9.78035E+12,eng,273,18335,1155,Abacus,2000
The Killing Dance (Anita Blake  Vampire Hunter  #6),Laurell K. Hamilton,4.13,9.78043E+12,en-US,368,59524,946,Berkley Hardcover,2006
The Hand of Chaos (The Death Gate Cycle  #5),Margaret Weis,4.06,9.78055E+12,eng,446,16301,117,Spectra,1993
On Intelligence,Jeff Hawkins,4.12,9.78081E+12,eng,261,5347,396,St. Martin's Griffin,2005
The Summit (Everest  #3),Gordon Korman,3.96,9.78044E+12,eng,154,2584,106,Scholastic Paperbacks,2002
Where I Was From,Joan Didion,3.86,9.78068E+12,eng,240,2842,292,Vintage,2004
A Sentimental Education,Gustave Flaubert,3.83,9.78019E+12,eng,464,105,7,Oxford University Press,2000
The Well At The World's End: Volume I,William Morris,3.81,9.78159E+12,en-US,332,257,22,Borgo Press,2000
Merlin's Tour of the Universe,Neil deGrasse Tyson,4.02,9.78039E+12,eng,318,305,27,Main Street Books,1997
Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury,4.41,9.78006E+12,eng,912,5161,184,William Morrow Paperbacks,2005
Fire in the Minds of Men: Origins of the Revolutionary Faith,James H. Billington,4.54,9.78077E+12,eng,677,96,9,Basic Books,1980
On Vital Reserves,William  James,4.5,9.78087E+12,eng,58,3,1,Christian Classics,1988
It's Kind of a Funny Story,Ned Vizzini,4.13,9.78079E+12,eng,444,704,111,Disney-Hyperion,2006
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck,4.35,9.78188E+12,eng,909,371,25,Library of America,1994
Gumbo Ya-Ya: A Collection of Louisiana Folk Tales,Lyle Saxon,4.04,9.78088E+12,eng,640,307,23,Pelican Publishing,1987
On Christian Doctrine,Augustine of Hippo,4.03,9.78002E+12,eng,191,2335,67,Library of Liberal Arts,1958
The Beleaguered City: The Vicksburg Campaign,Shelby Foote,4.22,9.78068E+12,eng,368,271,25,Modern Library,2000
Gimpel the Fool: And Other Stories,Isaac Bashevis Singer,4.16,9.78037E+12,eng,205,37,4,Farrar Straus Giroux,1988
Los funerales de la Mamá Grande,Gabriel García Márquez,3.78,9.78031E+12,spa,160,4694,133,Plaza y Janes,2006
What Came Before He Shot Her (Inspector Lynley  #14),Elizabeth  George,3.56,9.78006E+12,eng,560,6669,668,Harper,2006
The Portable Thomas Jefferson,Thomas Jefferson,4.05,9.78014E+12,eng,589,171,6,Penguin Classics,1977
The Mammoth Book of Golden Age Science Fiction: Ten Classic Stories from the Birth of Modern Science Fiction Writing,Isaac Asimov,3.93,9.78079E+12,en-US,512,128,12,Running Press,2007
